Id;Question;choiceA;choiceB;choiceC;choiceD;Answer
35;Kedudukan wawasan nusantara adalah...;Wawasan nusantara adalah pedoman untuk mengadakan hubungan antarbangsa berlandaskan persamaan kedudukan sebagai bangsa yang merdeka dan berdaulat;Wawasan nusantara adalah pedoman, motivasi, dorongan serta rambu-rambu dalam menentukan segala kebijakan, keputusan, tindakan dan perbuatan bagi penyelenggara negara ditingkat pusat dan daerah bagi seluruh rakyat Indonesia dalam kehidupan bermasyarakat, berbangsa dan bernegara;Wawasan nusantara adalah untuk mewujudkan nasionalisme yang tinggi di segala aspek kehidupan rakyat Indonesia yang lebih mengutamakan kepentingan nasional daripada kepentingan individu, kelompok golongan, suku, bangsa atau daerah.;Wawasan nusantara adalah sebagai ajaran yang diyakini kebenarannya oleh seluruh rakyat Indonesia agar tidak terjadi penyesatan atau penyimpangan dalam upaya mewujudkan cita-cita dan tujuan nasional. Wawasan nusantara berkedudukan sebagai visi bangsa.;4
36;Wawasan idiil wawasan nusantara adalah...;Pancasila;UUD 1945 ;Nasionalisme;Tap No V/MPR/1973;1
37;Wawasan nusantara adalah untuk mewujudkan nasionalisme yang tinggi di segala aspek kehidupan rakyat Indonesia yang lebih mengutamakan kepentingan nasional daripada kepentingan individu, kelompok golongan, suku, bangsa atau daerah, merupakan suatu...;Fungsi wawasan nusantara;Kedudukan wawasan nusantara;Tujuan wawasan nusantara;Prinsip wawasan nusantara;3
38;Wawasan nusantara sebagai wawasan nasional Indonesia dalam paradigm nasional disebut...;Landasan konstitusional;Landasan visional;Landasan misional;Landasan harapan bangsa;1
39;Contoh perilaku di kalangan pelajar yang diakibatkan oleh rendahnya semangat kebangsaan adalah...;Tidak giat dalam belajar;Tawuran antar sekolah;Bentrokan antar suku, agama, ras dan budaya;Saling memaki dan menjelekkan suatu golongan;2
40;Konsepsi wawasan nusantara aspirasinya dalam semboyan Bhinneka Tunggal Ika, hal ini merupakan lahirnya istilah konsep wawasan nusantara dari segi...;Nama;Perumusan dan Penetapan ;Perumusan dan Penjabaran;Ide, Gagasan, dan Cita-cita;4
41;Wawasan Nusantara terdiri dari, kecuali...;Perwujudan Kepulauan Nusantara sebagai Satu Kesatuan Sosial dan Budaya;Perwujudan Kepulauan Nusantara sebagai Satu Kesatuan Politik;Mengutamakan persatuan dan kesatuan wilayah dalam penyelenggaraan kehidupan Bermasyarakat, berbangsa, bernegara;Perwujudan Kepulauan Nusantara sebagai satu Kesatuan Ekonomi;3
42;Pada hakikatnya wawasan Nusantara adalah cara pandang bangsa Indonesia terhadap diri dan lingkungannya berdasarkan Pancasila dan UUD NRI Tahun 1945. Dengan demikian implementasi wawasan Nusantara dalam kehidupan politik akan menciptakan...;Iklim penyelenggaraan negara yang sehat dan dinamis;Tatanan ekonomi yang benar-benar menjamin pemenuhan dan peningkatan kesejahteraan dan kemakmuran rakyat secara adil dan merata;Sikap batiniah dan lahiriah yang mengakui, menerima dan menghormati segala bentuk perbedaan dan kebhinnekaan sebagai kenyataan hidup sebagai karunia Sang Pencipta;Kesadaran cinta tanah air dan bangsa yang lebih lanjut akan membentuk sikap bela Negara pada setiap warga negara Indonesia;1
43;Di dalam negara adanya warga negara yang memiliki ........ atas warga negara tersebut.;Kekuasaan;Hak dan Kewajiban;Kedaulatan;Kebebasan;2
44;Sistem pembinaan budi pekerti masyarakat bangsa merupakan salah satu cerminan dari wawasan nasional yaitu...;Tata Negara;Tata Hukum;Tata Budaya;Tata Ekonomi;3
45;Negara yang wilayahnya dapat diapit oleh dua negara besar atau adikuasa sehingga terjadi pengaruh  politik atas kebijakan kedua negara adikuasa itu disebut negara...;Daratan;Kepulauan;Posibilitis;Determinis;4
46;Hakikat wawasan nusantara adalah...;Kesatuan aspek politik dan aspek budaya;Kesatuan rakyat dan pemerintah;Keutuhan nusantara yang menyeluruh dalam lingkup nusantara demi kepentingan nasional;Keutuhan nusantara yang meliputi wilayah darat, laut dan udara;3
47;Persatuan dalam keberagaman harus dipahami oleh setiap warga masyarakat agar dapat mewujudkan hal mewujudkan hal-hal berikut ini, kecuali...;Terbentuknya satu masyarakat yang sama ras, agama, suku dan bahasa;Pembangunan berjalan lancar;Perbedaan yang ada tidak menjadi sumber masalah;Kehidupan yang serasi, selaras dan seimbang;1
48;Sikap positif pelajar yang menunjukkan semangat kebangsaan di lingkungan sekolah...;Malas belajar;Senang tawuran;Giat belajar;Bertengkar dilingkungan sekolah;3
49;Seseorang memperoleh kewarganegaraannya berdasarkan negara tempat di mana dia dilahirkan, meskipun orang tuanya bukan warga negara dari negara tersebut disebut...;Kewarganegaraan;Ius Soli;Ius Sanguinis;Domisili;2
50;Azas wawasan Nusantara yang menyatakan bahwa adanya kesesuaian pembagian hasil dengan adil jerih payah dan kegiatan baik perorangan, golongan, kelompok maupun daerah adalah...;Keadilan;Kejujuran;Kebebasan;Solidaritas;1
51;Wawasan Nusantara adalah cara pandang dan sikap bangsa Indonesia terhadap diri dan lingkungannya dengan mengutamakan persatuan dan kesatuan bangsa serta kesatuan wilayah dalam penyelenggaraan kehidupan bermasyarakat, berbangsa dan bernegara. Wawasan Nusantara adalah wawasan nasional yang bersumber pada…;Pancasila dan UUD Negara RI tahun 1945;Pancasila dan Peraturan Presiden;Pancasila dan Tap MPR;Pancasila dan Bhineka Tunggal Ika;1
52;Konsepsi wawasan nusantara merupakan suatu konsep di dalam cara pandang dan pengaturan yang mencakup segenap kehidupan bangsa yang dinamakan?;Trigatra;Pancagatra;Astagatra;Astaindera;3
53;Pancagatra merupakan aspek sosial kemasyarakatan terdiri dari, kecuali;Ideologi;Geografis negara;Sosial Budaya;Ekonomi, Politik;2
54;Salah satu aspek trigatra yaitu letak dan bentuk geografis. Jikalau kita melihat letak geografis wilayah Indonesia dalam peta dunia, maka akan nampak jelas bahwa wilayah negara tersebut merupakan suatu kepulauan, yang menurut wujud ke dalam, terdiri dari daerah air dengan ribuan pulau-pulau di dalamnya. Letak Indonesia secara astronomis yaitu?;6 LU–11 LS, 95 BT–141 BT;7 LU–11 LS, 90 BT–142 BT;5 LU–10 LS, 95 BT–141 BT;6 LU–11 LS, 90 BT–142 BT;1
55;Aspek-aspek trigatra salah satunya meliputi keadaan dan kemampuan penduduk. Di dalam keadaan dan kemampuan penduduk terdapat beberapa faktor yang mempengaruhi ketahaan nasional kecuali…;faktor yang mempengaruhi jumlah penduduk;Faktor yang mempengaruhi komposisi penduduk;Faktor yang mempengaruhi distribusi penduduk;faktor yang mempengaruhi sandang pangan penduduk;4
56;Keadaan dan kekayaan alam merupakan aspek yang ada di dalam trigatra. Sumber daya alam harus diolah atau dimanfaatkan dengan berprinsip pada asas apa saja?;Asas maksimal, asas lestari, asas efektif;asas maksimal, asas lestari, asas berdaya saing;asas maksimal, asas maksimal, asas berdaya saing;asas minimum, asas lestari, asas berdaya saing;2
57;Apa pengertian asas maksimal ?;Artinya sumber daya alam yang dikelola atau dimanfaatkan harus benar-benar menciptakan kemakmuran dan kesejahteraan rakyat;sumber daya alam yang di manfaatkan untuk kepentingan semua;Artinya rakyat dan pemerintah bekerja sama menciptakan asas maksimal;Artinya sumber daya alam yang dikelola atau dimanfaatkan harus benar-benar ;1
58;Pengolahan sumber daya alam tidak boleh menimbulkan kerusakan lingkungan, menjaga keseimbangan alam merupakan pengertian dari?;Asas berdaya saing;Asas minimum;Asas maksimum;asas lestari;4
59;Asas berdaya saing artinya bahwa hasil hasil sumber daya alam harus bisa bersaing dengan sumber daya alam negara lain. Sebutkan contoh yang bisa digunakan sebagai sumber daya alam yang bisa bersaing dengan sumber daya alam negara lain…;Borobudur;Pohon Jati;Batik;Barung;3
60;aspek-aspek kehidupan nasional yang menyangkut kehidupan dan pergaulan hidup manusia dalam bermasyarakat dan bernegara dengan ikatan-ikatan, aturan-aturan dan norma-norma tertentu. Merupakan pengertian dari?;Astagatra;Pancagatra;Trigatra;Dwigatra;2
61;Pengertian dari Ideologi, kecuali….;Ideologi suatu negara diartikan sebagai  guiding of principles atau prinsip yang dijadikan dasar suatu bangsa.;Ideologi adalah pengetahuan dasar atau cita-cita dan Ideologi merupakan konsep yang mendalam mengenai kehidupan yang dicita-citakan serta yang ingin diiperjuangkan dalam kehidupan nyata.;Ideologi adalah ide dan gagasan pengetahuan yang bersangkutan pada hakikat pemerintah dan rakyat;Ideologi dapat dijabarkan ke dalam sistem nilai kehidupan, yaitu serangkaian nilai yang tersusun secara sistematis dan merupakan kebulatan ajaran dan doktrin.;3
62;Dalam strategi pembinaan ideology, berikut adalah beberapa prinsip yang harus diperhatikan, kecuali…;Ideologi sebagai perekat pemersatu harus ditanamkan pada seluruh WNI.;Ideologi harus dijadikan panglima, bukan sebaliknya.;Ideologi harus dibuat singkron untuk penguasa dan warga negara;Aktualisasi ideologi dikembangkan kearah keterbukaan dan kedinamisan;3
63;Ideologi yang mengakui keaneragaman dalam hidup berbangsa dan dijadikan alat untuk menyejahterakan dan mempersatukan masyarakat adalah…;UUD 1945;Pancasila dan Peraturan Presiden;Bhineka Tunggal Ika;Tap MPR;2
64;Kalangan elit eksekutif, legislatif, dan yudikatif harus harus mewujudkan cita-cita bangsa dengan melaksanakan GBHN dengan mengedepankan kepentingan siapa?;Bangsa;Pemerintah;Penguasa;Rakyat kecil;1
65;Menyosialisasikan Pancasila sebagai ideologi humanis, relijius, demokratis, nasionalis, dan berkeadilan. Menumbuhkan sikap positif terhadap warga negara dengan meningkatkan motivasi untuk mewujudkan…;cita-cita Bangsa;Kepentingan bersama;kesejahteraan penguasa;perlindungan yang adil;1
66;Politik diartikan sebagai asas, haluan, atau kebijaksanaan yang digunakan untuk mencapai tujuan dan kekuasaan. Kehidupan politik dapat dibagi kedalam dua sektor yaitu?;minimum dan maksimum;faktor input, faktor proses, faktor output;faktor masyarakat dan pemerintah;faktor input dan pemerintah;3
67;Kegiatan ekonomi adalah seluruh kegiatan pemerintah dan masyarakat dalam mengelola faktor produksi dan distribusi barang dan jasa untuk  kesejahteraan rakyat. Ekonomi kerakyatan harus menghindari, kecuali;free fight liberalism;etatisme;tidak dibenarkan adanya monopoli;oligarki;4
68;Sosial budaya dapat diartikan sebagai kondisi dinamik budaya bangsa yang berisi keuletan untuk mengembangkan kekuatan nasional dalam menghadapi dan mengatasi…;ancaman, tantangan, ideologi, kesetaraan;kedaulatan dan ideology, halangan, gangguan;pengadilan dan kesetaraan, gangguan, tantangan;ancaman, tantangan, halangan dan gangguan;4
69;Gangguan dapat datang dari dalam maupun dari luar, baik secara langsung maupun tidak langsung, yang membahayakan kelangsungan hidup sosial NKRI berdasarkan Pancasila dan UUD 1945. Esensi ketahanan budaya adalah;ketahanan budaya yang relevan bagi kehidupan sosial;pengaturan dan penyelenggaraan kehidupan sosial budaya;pengaturan bagi kehidupan sosial masyarakat;kehidupan yang berlandaskan ekuitas pada masyarakat;2
70;Pertahanan dan keamanan diartikan sebagai kondisi dinamika dalam kehidupan pertahanan dan keamanan bangsa Indonesia yang berisi keuletan dan ketangguhan yang mengandung kemampuan mengembangkan kekuatan nasional dalam menghadapi dan mengatasi ATHG yang membahayakan….;identitas, integritas, dan kelangsungan hidup bangsa berdasarkan Pancasila dn UUD 1945;ideologi, keselamatan, kelangsungan hidup, keadilan, kekuasaan bagi penguasa;organisasi masyarakat, keselamatan umat beragama, dan kesuksesan rakyat;kewarganegaraan bagi rakyat, hak dan kewajiban bagi setiap warga negara;1
71;Prinsip-prinsip Sistem Ketahanan Nasional antara lain adalah sebagai berikut, kecuali…;Bangsa Indonesia cinta damai tetapi lebih cinta kemerdekaan.;Pertahanan keamanan berlandasan pada landasan ideal Pancasila, landasan konstitusional UUD 1945, dan landasan visional wawasan nusantara.;Perdamaian dan keamanan negara dijamin oleh negara global;Pertahanan keamanan negara merupakan upaya terpadu yang melibatkan segenap potensi dan kekuatan nasional.;3
72;Antara trigatra dan pancagatra serta antargatra itu sendiri terdapat hubungan timbal balik yang erat yang dinamakan…;timbal balik sementara;maksimum dan minimum;fleksibel dan relevan;korelasi dan interdependensi;4
73;Ketahanan nasional pada hakikatnya bergantung kepada kemampuan bangsa dan negara di dalam mendayagunakan secara optimal gatra alamiah sebagai modal dasar untuk penciptaan kondisi dinamis yang merupakan kekuatan untuk ?;trigatra;Pancagatra;Astagatra;Dwigatra;2
74;Ketahanan nasional Indonesia bukan merupakan suatu penjumlahan ketahanan segenap gatranya, melainkan suatu resultante keterkaitan yang integratif dari kondisi-kondisi dinamik kehidupan bangsa di bidang-bidang apa saja?;ideologi, politik, ekonomi, sosial budaya, pertahanan dan keamanan;geografi, politik, sosial ekonomi, pertahanan dan keamanan;ideologi, geografi, politik, ekonomi, sosial budaya;pertahanan dan keamanan, multicultural, politik dan ekonomi;1
75;Hubungan antar gatra dalam pancagatra setiap gatra dalam Pancagatra memberikan kontribusi tertentu pada gatra-gatra lain dan sebaliknya setiap gatra menerima kontribusi dari gatra-gatra lain secara terintegrasi, berikut adalah contohnya, kecuali…;Antara gatra ideologi dengan gatra politik, ekonomi, sosial budaya, pertahanan dan keamanan, maka arti ideologi adalah sebagai falsafah bangsa dan landasan ideologi negara. Selain itu ideologi merupakan nilai penentu bagi kehidupan nasional yang meliputi seluruh gatra dalam pancagatra dalam memelihara kelangsungan hidup bangsa dan pencapaian tujuan nasional;"Antara gatra politik dengan gatra ideologi, ekonomi, sosial budaya, pertahanan dan keamanan; berarti kehidupan politik yang mantap dan dinamis menjalankan kebenaran ideologi, memberikan iklim yang kondusif untuk pengembangan ekonomi, sosial budaya, pertahanan dan keamanan.";Antara gatra geografi dengan gatra ideologi, ekonomi, sosial budaya, pertahanan dan keamanan, maka arti geografi adalah sebagai falsafah bangsa dan landasan ideologi negara. Dan dijadikan sebagai dasar dari letak wilayah suatu negara.;"Antara gatra ekonomi dengan gatra ideologi, ekonomi, sosial budaya, pertahanan dan keamanan; berarti kehidupan ekonomi yang tumbuh mantap dan merata, akan menyakinkan kebenaran ideologi yang dianut, mendinamisir kehidupan politik dan perkembangan sosial budaya serta mendukung pengembangan pertahanan dan keamanan. Keadaan ekonomi yang stabil, maju dan merata menunjang stabilitas dan peningkatan ketahanan aspek lain.";3
76;Untuk membangun bangsah Indonesia yang berwawasan nusantara, maka wawasan nusantara harus dijadikan sebagai…;Gaya hidup bagi  warga negara Indonesia;Menghargai perbedaan bagi setiap warga negara Indonesia;Arahan, pedoman, acuan, dan tuntutan bagi setiap warga negara Indonesia;Semboyan dan kebanggaan bagi setiap warga negara Indonesia;3
77;Wujud implementasi wawasan nusatara oleh setiap warga negara Indonesia tercemin pada…;Pola pikir, sikap, dan tindak yang mendahulukan kepentingan pribadi atau golongan dari pada kepentingan bangsa;Pola sikap, pola prilaku, dan pola bahasa berkomunikasi dengan warga negara lain;Pola sikap, pola prilaku, dan pola bahasa berkomunikasi dengan orang lain;Pola pikir, sikap, dan tindak yang mendahulukan kepentingan bangsa dari pada kepentingan pribadi atau golongan;4
78;Bagaimana orentasi implementasi wawasan nusantara dalam kehidupan berbangsa dan bernegara…;Berorientasi pada kepentingan negara saja;Berorientasi pada kepentingan negara Indonesia dan negara Asing;Berorietasi pada kepentingan masyarakat lokal dan nasional;Berorientasi pada kepentingan rakyat dan wilayah tanah air secara utuh dan menyeluruh;4
79;Wawasan kesadaran berbangsa dan bernegara untuk membela negara diwujudkan melalui….;Kepentingan keluarga;Kepentingan pribadi;Cinta tanah air;Kepentingan golongan ;3
80;Bagaimana peranan wawasan nusantara dalam kehidupan ekonomi dapat menciptakan….;Kemiskinan;Semboyan hidup;Kesejahteraan dan kemakmuran;Mewujudkan kekayaan;3
81;Peningkatan kesejahteraan dan kemakmuran rakyat secara merata dan adil merupakan perwujudan wawasan dalam bidang…;Politik dan psikologi;Sosial dan industri;Budaya ;Ekonomi;4
82;Wawasan nusantara dalam kehidupan politik dapat menciptakan iklim….;Kebersamaan ;Kekeluargaan ;Sehat dan dinamis;Kerukunan dan harmonis;3
83;Perwujutan pemerintahan yang kuat, aspiratif, dan terpercaya dapat dibangun melalui….;Pembangunan politik yang sehat dan dinamis;Membiarkan berjalan dengan sendiri;Kerjasama dan kerja kelompok;Tanggungjawab masing-masing pribadi;1
84;Bagaimana wujud implementasi wawasan nusantara dalam kehidupan sosial budaya….;Sabar dan penyanyang;Selalu bersyukur;Sikap batinia dan lahiria;Menghargai perbedaan;3
85;Bentuk kehidupan sosial dan budaya warga negara dapat tercermin melalui….;Ekonomi ;Sosial dan budaya;Politik dan pertahanan;Bhineka tunggal ika;4
86;Kehidupan masyarakat yang rukun dan bersatu tanpa membedakan suku, asal usul, daerah, agama merupakan implementasi dari...;Sosial ekonomi;Sosial budaya;politik dan ekonomi;Agama ;2
87;Warga negara mencintai tanah air merupakan perwujudan wawasan nusantara dalam bentuk….;Ekonomi ; Politik ;Sosial budaya;Pertahanan dan keamanan;4
88;Partisipasi setiap warga negara Indonesia dalam menanggapi segala bentuk ancaman terhadap bangsa melalui….;Pertahanan dan keamanan;Melaporkan kepada polisi;Melaporkan kepada pak lurah;Tidak memperdulikan;1
89;Sikap toleran, akrab, peduli, hormat, dan taat hukum merupakan wawasan nusantara melalui aspek….;Aspek peduli lingkungan;Aspek kehidupan nasional;Aspek peduli sekolah;Aspek peduli diri sendiri;2
